伝票日付,売上日付,支払日付,業者CD,業者名,伝票区分CD,伝票区分名,品名CD,品名,正味重量,数量,単位CD,単位名,単価,金額,受入番号,集計項目CD,集計項目
2025-03-31,2025/03/31(月),2025/03/31(月),3863,ｸﾛﾀﾞ,1,売上,21,軽量物系B(ｸﾞﾗｽｳｰﾙ),"1,430","1,430",3,kg,80,"114,400",46721,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),3949,青山商事,1,売上,1,混合廃棄物A,990,990,3,kg,45,"44,550",46636,1.0,A（事業）
2025-03-31,2025/03/31(月),2025/03/31(月),3981,ASUM,1,売上,1,混合廃棄物A,420,420,3,kg,65,"27,300",46620,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),4074,東武ﾃﾞﾘﾊﾞﾘｰ,1,売上,1,混合廃棄物A,620,620,3,kg,60,"37,200",46666,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),4074,東武ﾃﾞﾘﾊﾞﾘｰ,1,売上,1,混合廃棄物A,"1,550","1,550",3,kg,60,"93,000",46680,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),4080,三協立山ﾀﾃﾔﾏｱﾄﾞﾊﾞﾝｽ社,1,売上,1,混合廃棄物A,330,330,3,kg,50,"16,500",46626,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),4080,三協立山ﾀﾃﾔﾏｱﾄﾞﾊﾞﾝｽ社,2,支払,68,GC 軽鉄･ｽﾁｰﾙ類,50,50,3,kg,0,0,46626,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),4097,佐富工業,1,売上,2,混合廃棄物B,320,320,3,kg,70,"22,400",46728,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),4108,ﾊﾟﾅｿﾆｯｸ産機ｼｽﾃﾑｽﾞ,1,売上,1,混合廃棄物A,10,10,3,kg,50,500,46724,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),3863,ｸﾛﾀﾞ,1,売上,21,軽量物系B(ｸﾞﾗｽｳｰﾙ),770,770,3,kg,80,"61,600",46643,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),2803,ﾐﾉﾑﾗ建工,1,売上,4,混合廃棄物(焼却物),350,350,3,kg,75,"26,250",46667,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),2803,ﾐﾉﾑﾗ建工,1,売上,2,混合廃棄物B,340,340,3,kg,70,"23,800",46667,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),2380,築地場外市場商店街(振),1,売上,2,混合廃棄物B,310,310,3,kg,65,"20,150",46628,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),1244,銀座急送,1,売上,1,混合廃棄物A,900,900,3,kg,65,"58,500",46651,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),1308,ｵﾈｽﾄ･ﾜﾝ,1,売上,1,混合廃棄物A,170,170,3,kg,63,"10,710",46735,2.0,B（残置）
